Population,RegionName,Time,Indicator,NumValue
Third-gen cephalosporins,Italy,2015,"I - 'susceptible, increased exposure' isolates ",29.000000000
Third-gen cephalosporins,Lithuania,2015,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Luxembourg,2015,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Latvia,2015,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Malta,2015,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Netherlands,2015,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Norway,2015,"I - 'susceptible, increased exposure' isolates ",15.000000000
Third-gen cephalosporins,Poland,2015,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Portugal,2015,"I - 'susceptible, increased exposure' isolates ",47.000000000
Third-gen cephalosporins,Romania,2015,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Sweden,2015,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Slovenia,2015,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Slovakia,2015,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,United Kingdom,2015,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Austria,2016,"I - 'susceptible, increased exposure' isolates ",13.000000000
Third-gen cephalosporins,Belgium,2016,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Bulgaria,2016,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Cyprus,2016,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Czechia,2016,"I - 'susceptible, increased exposure' isolates ",16.000000000
Third-gen cephalosporins,Germany,2016,"I - 'susceptible, increased exposure' isolates ",31.000000000
Third-gen cephalosporins,Denmark,2016,"I - 'susceptible, increased exposure' isolates ",27.000000000
Third-gen cephalosporins,Estonia,2016,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Greece,2016,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Spain,2016,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Finland,2016,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,France,2016,"I - 'susceptible, increased exposure' isolates ",32.000000000
Third-gen cephalosporins,Croatia,2016,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Hungary,2016,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Ireland,2016,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Iceland,2016,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Italy,2016,"I - 'susceptible, increased exposure' isolates ",37.000000000
Third-gen cephalosporins,Lithuania,2016,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Luxembourg,2016,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Latvia,2016,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Malta,2016,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Netherlands,2016,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Norway,2016,"I - 'susceptible, increased exposure' isolates ",13.000000000
Third-gen cephalosporins,Poland,2016,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Portugal,2016,"I - 'susceptible, increased exposure' isolates ",40.000000000
Third-gen cephalosporins,Romania,2016,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Sweden,2016,"I - 'susceptible, increased exposure' isolates ",17.000000000
Third-gen cephalosporins,Slovenia,2016,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Slovakia,2016,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,United Kingdom,2016,"I - 'susceptible, increased exposure' isolates ",40.000000000
Third-gen cephalosporins,Austria,2017,"I - 'susceptible, increased exposure' isolates ",11.000000000
Third-gen cephalosporins,Belgium,2017,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Bulgaria,2017,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Cyprus,2017,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Czechia,2017,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Germany,2017,"I - 'susceptible, increased exposure' isolates ",34.000000000
Third-gen cephalosporins,Denmark,2017,"I - 'susceptible, increased exposure' isolates ",17.000000000
Third-gen cephalosporins,Estonia,2017,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Greece,2017,"I - 'susceptible, increased exposure' isolates ",23.000000000
Third-gen cephalosporins,Spain,2017,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Finland,2017,"I - 'susceptible, increased exposure' isolates ",22.000000000
Third-gen cephalosporins,France,2017,"I - 'susceptible, increased exposure' isolates ",18.000000000
Third-gen cephalosporins,Croatia,2017,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Hungary,2017,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Ireland,2017,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Iceland,2017,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Italy,2017,"I - 'susceptible, increased exposure' isolates ",39.000000000
Third-gen cephalosporins,Lithuania,2017,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Luxembourg,2017,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Latvia,2017,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Malta,2017,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Netherlands,2017,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Norway,2017,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Poland,2017,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Portugal,2017,"I - 'susceptible, increased exposure' isolates ",60.000000000
Third-gen cephalosporins,Romania,2017,"I - 'susceptible, increased exposure' isolates ",3.000000000
